# ICRP 116 Table A.3 Neutron AP Effective Dose DCC
# Phantom:,AM,Geometry: AP,Source: ICRP Pub.116
Energy_MeV,Energy_eV,E_over_Phi_pSv_cm2,Region
1.0000e-09,1.0000e-03,2.7000e-01,Thermal
1.0000e-08,1.0000e-02,8.6000e-01,Thermal
2.5300e-08,2.5300e-02,1.0600e+00,Thermal
1.0000e-07,1.0000e-01,1.8500e+00,Thermal
2.0000e-07,2.0000e-01,2.2600e+00,Thermal
5.0000e-07,5.0000e-01,2.0000e+00,Epithermal
1.0000e-06,1.0000e+00,1.8800e+00,Epithermal
2.0000e-06,2.0000e+00,1.8300e+00,Epithermal
5.0000e-06,5.0000e+00,2.0100e+00,Epithermal
1.0000e-05,1.0000e+01,2.2800e+00,Epithermal
2.0000e-05,2.0000e+01,2.5900e+00,Epithermal
5.0000e-05,5.0000e+01,3.4200e+00,Epithermal
1.0000e-04,1.0000e+02,4.5500e+00,Epithermal
2.0000e-04,2.0000e+02,6.2400e+00,Epithermal
5.0000e-04,5.0000e+02,1.0500e+01,Epithermal
1.0000e-03,1.0000e+03,1.6400e+01,Epithermal
2.0000e-03,2.0000e+03,2.5400e+01,Epithermal
5.0000e-03,5.0000e+03,5.0000e+01,Epithermal
1.0000e-02,1.0000e+04,8.0800e+01,Fast
2.0000e-02,2.0000e+04,1.3700e+02,Fast
5.0000e-02,5.0000e+04,2.5600e+02,Fast
1.0000e-01,1.0000e+05,3.7200e+02,Fast
2.0000e-01,2.0000e+05,4.7000e+02,Fast
5.0000e-01,5.0000e+05,5.7700e+02,Fast
1.0000e+00,1.0000e+06,6.3700e+02,Fast
2.0000e+00,2.0000e+06,6.8500e+02,Fast
5.0000e+00,5.0000e+06,8.0000e+02,Fast
1.0000e+01,1.0000e+07,9.2700e+02,Fast
2.0000e+01,2.0000e+07,1.1100e+03,Fast
5.0000e+01,5.0000e+07,1.4700e+03,Fast
1.0000e+02,1.0000e+08,1.8100e+03,Fast
