# Effective Dose Verification: Sigma(wT*HT) vs ICRP116 Tabulated
Energy_MeV,Energy_eV,ICRP116_Tabulated_pSv_cm2,Computed_Sum_wT_HT_pSv_cm2,Deviation_pct
2.5300e-08,2.5300e-02,1.0600e+00,5.5162e-01,-47.96
1.0000e-07,1.0000e-01,1.8500e+00,3.4202e+00,84.87
1.0000e-06,1.0000e+00,1.8800e+00,2.1194e+00,12.73
1.0000e-05,1.0000e+01,2.2800e+00,2.3604e+00,3.53
1.0000e-04,1.0000e+02,4.5500e+00,4.4977e+00,-1.15
1.0000e-03,1.0000e+03,1.6400e+01,1.3313e+01,-18.82
1.0000e-02,1.0000e+04,8.0800e+01,7.8475e+01,-2.88
1.0000e-01,1.0000e+05,3.7200e+02,3.5525e+02,-4.50
5.0000e-01,5.0000e+05,5.7700e+02,5.2498e+02,-9.02
1.0000e+00,1.0000e+06,6.3700e+02,5.5987e+02,-12.11
2.0000e+00,2.0000e+06,6.8500e+02,5.8388e+02,-14.76
5.0000e+00,5.0000e+06,8.0000e+02,6.3789e+02,-20.26
1.0000e+01,1.0000e+07,9.2700e+02,6.9637e+02,-24.88
