# ICRP 116 Table A.3 Neutron AP Organ HT/Phi DCC (pSv·cm²)
# Phantom:,AM,Geometry: AP,Source: ICRP Pub.116
Organ,wT (ICRP103),0.0253eV,0.1eV,1eV,10eV,100eV,1000eV,1e+04eV,1e+05eV,5e+05eV,1e+06eV,2e+06eV,5e+06eV,1e+07eV
Adrenals,0.00923076923076923,7.1700e-01,4.4600e+00,2.7600e+00,3.0700e+00,5.9000e+00,1.7600e+01,1.0400e+02,4.7400e+02,6.8800e+02,7.2800e+02,7.5700e+02,8.2600e+02,9.0300e+02
Brain,0.01,6.0300e-02,3.1000e-01,1.8000e-01,2.1000e-01,3.9000e-01,1.0200e+00,4.5500e+00,5.6000e+01,2.3000e+02,3.0000e+02,3.5000e+02,4.6000e+02,5.8000e+02
Colon wall,0.12,6.2300e-01,3.8600e+00,2.3700e+00,2.6300e+00,5.0300e+00,1.5100e+01,9.2500e+01,4.2900e+02,6.1500e+02,6.5000e+02,6.7800e+02,7.3800e+02,8.0800e+02
Oesophagus,0.04,7.3900e-01,4.6200e+00,2.8600e+00,3.1700e+00,6.0700e+00,1.7900e+01,1.0500e+02,4.8100e+02,7.1400e+02,7.6800e+02,8.0300e+02,8.8700e+02,9.7500e+02
Kidneys,0.00923076923076923,6.2900e-01,3.9000e+00,2.4100e+00,2.6900e+00,5.1700e+00,1.5500e+01,9.4300e+01,4.2700e+02,6.2400e+02,6.6000e+02,6.8600e+02,7.5000e+02,8.1800e+02
Liver,0.04,7.3900e-01,4.6400e+00,2.8800e+00,3.2200e+00,6.1600e+00,1.8200e+01,1.0700e+02,5.0300e+02,7.4300e+02,7.8700e+02,8.1400e+02,8.8300e+02,9.6000e+02
Lungs,0.12,1.3500e+00,8.3400e+00,5.2200e+00,5.8100e+00,1.0900e+01,3.1700e+01,1.7700e+02,7.3800e+02,1.0000e+03,1.0400e+03,1.0700e+03,1.1200e+03,1.1800e+03
Pancreas,0.00923076923076923,7.6800e-01,4.7800e+00,2.9800e+00,3.3100e+00,6.2800e+00,1.8700e+01,1.1000e+02,5.0000e+02,7.2000e+02,7.6300e+02,7.9200e+02,8.6400e+02,9.4300e+02
Red bone marrow,0.12,8.0400e-01,4.9900e+00,3.0900e+00,3.4400e+00,6.5800e+00,1.9600e+01,1.1500e+02,4.6500e+02,6.3800e+02,6.7000e+02,6.9500e+02,7.5900e+02,8.3100e+02
Bone surface,0.01,5.7700e-02,3.5800e-01,2.2100e-01,2.4600e-01,4.6900e-01,1.4000e+00,8.7000e+00,6.9700e+01,2.0100e+02,2.5300e+02,2.9500e+02,3.7700e+02,4.7400e+02
Salivary glands,0.01,5.0800e-01,3.1400e+00,1.9200e+00,2.1600e+00,4.1600e+00,1.2500e+01,7.7400e+01,4.5200e+02,8.2500e+02,9.1100e+02,9.5800e+02,1.0500e+03,1.1100e+03
Skin,0.01,7.8100e-01,4.8300e+00,3.0100e+00,3.3600e+00,6.4700e+00,1.9500e+01,1.2000e+02,5.9100e+02,9.3300e+02,1.0000e+03,1.0400e+03,1.1200e+03,1.1900e+03
Spleen,0.00923076923076923,7.2900e-01,4.5500e+00,2.8200e+00,3.1400e+00,6.0100e+00,1.7900e+01,1.0600e+02,4.8900e+02,7.1200e+02,7.5500e+02,7.8200e+02,8.5100e+02,9.2700e+02
Stomach wall,0.12,5.6800e-01,3.5200e+00,2.1700e+00,2.4200e+00,4.6700e+00,1.3900e+01,8.5200e+01,4.3800e+02,7.1500e+02,7.7800e+02,8.1800e+02,9.1300e+02,1.0200e+03
Testes,0.08,4.3800e-02,2.7100e-01,1.6500e-01,1.8400e-01,3.5500e-01,1.0700e+00,6.8000e+00,3.6400e+01,7.8500e+01,9.7100e+01,1.1100e+02,1.4700e+02,1.8700e+02
Thyroid,0.04,6.3500e-01,3.9600e+00,2.4100e+00,2.7200e+00,5.2200e+00,1.5600e+01,9.6300e+01,5.1300e+02,8.7200e+02,9.5500e+02,1.0000e+03,1.1000e+03,1.1700e+03
Bladder wall,0.04,5.4700e-01,3.3700e+00,2.0900e+00,2.3200e+00,4.4800e+00,1.3400e+01,8.2600e+01,3.7300e+02,5.5400e+02,5.9200e+02,6.1800e+02,6.8200e+02,7.4600e+02
